string,pred
6 1/8 oz pisco,pisco
6 1/8 oz pomegranate juice,pomegranate juice
6 1/8 oz punt e mes,punt e mes
6 1/8 oz reposado tequila,reposado tequila
6 1/8 oz rose champagne,rose petal
6 1/8 oz rose water,rose water
6 1/8 oz rye whiskey,rye whiskey
6 1/8 oz scotch,scotch
6 1/8 oz seltzer,seltzer
6 1/8 oz simple syrup,simple syrup
"6 1/8 oz sparkling wine, preferable moscato",sparkling wine
"6 1/8 oz strawberry, sliced",strawberry
"6 1/8 oz sweet sparkling wine, chilled",sparkling wine
6 1/8 oz triple sec,triple sec
6 1/8 oz vermouth,vermouth
6 1/8 oz vodka,vodka
6 1/8 oz white vermouth,white vermouth
6 1/8 pod green cardamom,green cardamom
6 1/8 pounds russet potatoes,russet potatoes
"6 1/8 slice dried pear, fresh",pear
6 1/8 sour cherry,sour cherry
6 1/8 sprig rosemary,rosemary
6 1/8 sprig tarragon,tarragon
6 1/8 tablespoons kosher salt,kosher salt
6 1/8 tbsp cranberry sorbet,cranberry sorbet
6 1/8 tbsp cranberry sorbet (optional),cranberry sorbet
6 1/8 tbsp honey,honey
6 1/8 tbsp kosher salt,kosher salt
6 1/8 tbsp superfine sugar,superfine sugar
6 1/8 tbsp whole black peppercorn,black peppercorn
6 1/8 teaspoon (g) baking soda,baking soda
6 1/8 teaspoon baking soda,baking soda
"6 1/8 to  tablespoons powdered sugar, plus more to decorate",powdered milk
"6 1/8 tsp black peppercorn, freshly ground",black peppercorn
6 1/8 tsp harissa paste,harissa paste
6 1/8 tsp lemon juice,lemon juice
6 1/8 tsp pimento bitters,bitters bitters
6 1/8 tsp sherry vinegar,sherry vinegar
6 1/8 twist lime,lime
6 1/8 twist orange zest,orange zest
6 1/8 vanilla bean,vanilla bean
"6 1/8 wedge lemon, juiced",lemon
"6 2/3 black peppercorn, cracked",black peppercorn
"6 2/3 bottle coffee, cold",coffee
6 2/3 bottle scotch,scotch
6 2/3 cherry,cherry
6 2/3 cherry tomatoes,cherry tomatoes
6 2/3 club soda,club soda
6 2/3 cup apple cider vinegar,apple cider vinegar
"6 2/3 cup cardamom pod, lightly crushed",cardamom pod
6 2/3 cup chopped pineapple,pineapple
6 2/3 cup crème fraîche or sour cream,sour cream
6 2/3 cup crushed ice,crushed ice
6 2/3 cup prepared horseradish,coho condensed
6 2/3 cup rosemary gin simple syrup,simple syrup
6 2/3 cup rum,rum
6 2/3 cup turbinado sugar,turbinado sugar
6 2/3 cup water,water
6 2/3 cup whole milk,whole milk
6 2/3 dash absinthe,absinthe
6 2/3 dash chocolate bitters,chocolate bitters
6 2/3 dash lemon bitters,orange bitters
6 2/3 dash orange bitters,orange bitters
6 2/3 dash orange bitters (optional),orange bitters
6 2/3 dash pomegranate bitters,concord bitters
6 2/3 dash simple syrup,simple syrup
6 2/3 drop orange blossom water,orange blossom water
6 2/3 egg,egg
6 2/3 egg yolk,egg yolk
6 2/3 grapefruit twist,grapefruit twist
"6 2/3 lb bread, fresh",bread
"6 2/3 lemon, cut into wheels",lemon
"6 2/3 lemon, zested",lemon
6 2/3 oz agave nectar,agave nectar
6 2/3 oz apple brandy,apple brandy
6 2/3 oz apple brandy (optional),apple brandy
6 2/3 oz barolo chinato,barolo chinato
6 2/3 oz brandy,brandy
6 2/3 oz cachaca,cachaca
6 2/3 oz campari,campari
6 2/3 oz champagne acid,champagne acid
6 2/3 oz chicory-infused rye whiskey,rye whiskey
6 2/3 oz citrus vodka,citrus vodka
"6 2/3 oz club soda, cold",club soda
6 2/3 oz cognac,cognac
6 2/3 oz dark rum,dark rum
6 2/3 oz demerara simple syrup,simple simple syrup
6 2/3 oz dry sparkling wine,sparkling wine
6 2/3 oz dry vermouth,dry vermouth
6 2/3 oz dubonnet,dubonnet
6 2/3 oz evaporated milk,evaporated milk
6 2/3 oz falernum,falernum
6 2/3 oz fernet branca,fernet branca
6 2/3 oz freshly squeezed lemon juice,lemon juice
6 2/3 oz freshly squeezed orange juice,orange juice
6 2/3 oz gin,gin
"6 2/3 oz ginger, peeled",ginger
6 2/3 oz grand marnier,grand marnier
"6 2/3 oz grapefruit juice, freshly squeezed",grapefruit juice
6 2/3 oz grapefruit seltzer,yuzu
6 2/3 oz honey,honey
6 2/3 oz ice cube,ice cube
6 2/3 oz lillet blonde,lillet blonde
"6 2/3 oz lime juice, fresh",lime juice
6 2/3 oz maple syrup,maple syrup
6 2/3 oz maraschino liqueur,maraschino liqueur
6 2/3 oz mint simple syrup,simple syrup
6 2/3 oz old tom gin,old tom gin
6 2/3 oz orgeat,orgeat
6 2/3 oz pernod,pernod
6 2/3 oz pimms,pimms
6 2/3 oz pomegranate molasses,pomegranate molasses
6 2/3 oz rich simple syrup,simple syrup
6 2/3 oz rose champagne,rose petal
6 2/3 oz rosemary simple syrup,simple syrup
6 2/3 oz scotch,scotch
6 2/3 oz sweet vermouth,sweet vermouth
"6 2/3 oz tangerine juice, freshly squeezed",tangerine juice
6 2/3 oz tomato juice,tomato juice
6 2/3 oz tonic water,tonic water
6 2/3 oz unfiltered apple cider,apple cider
6 2/3 oz vermouth,vermouth
6 2/3 oz water,water
"6 2/3 oz water, hot",water
6 2/3 oz whipped cream,whipped cream
6 2/3 oz whiskey,whiskey
6 2/3 oz whole milk,whole milk
6 2/3 pod green cardamom,green cardamom
"6 2/3 pt strawberry, diced",strawberry
6 2/3 sprig cilantro,cilantro
6 2/3 tablespoons unsalted butter,unsalted butter
6 2/3 tbsp chicory,chicory
6 2/3 tbsp cranberry sorbet,cranberry sorbet
6 2/3 tbsp edible gold flake,edible gold flake
6 2/3 tbsp extra virgin olive oil,extra virgin olive oil
6 2/3 tbsp extra virgin olive oil (optional),extra virgin olive oil
6 2/3 tbsp honey,honey
6 2/3 tbsp simple syrup,simple syrup
6 2/3 tbsp unsalted butter,unsalted butter
6 2/3 tbsp whole allspice,allspice
6 2/3 tbsp whole clove,clove
6 2/3 tsp granulated sugar,granulated sugar
6 2/3 tsp granulated sugar (optional),granulated sugar
6 2/3 tsp ground pink peppercorn,pink peppercorn
6 2/3 tsp hot sauce,hot sauce
6 2/3 tsp kosher salt,kosher salt
6 2/3 tsp orange marmalade,orange marmalade
"6 2/3 tsp water, warm",water
6 2/3 tsp whole fennel seed,fennel seed
6 2/3 wedge grapefruit,grapefruit
"6 2/3 wedge lemon, juiced",lemon
6 2/3 wedge pineapple,pineapple
6 3/4 bottle bourbon,bourbon
6 3/4 cherry,cherry
6 3/4 cinnamon stick,cinnamon stick
6 3/4 clove,clove
6 3/4 cup almond,almond
6 3/4 cup apple cider vinegar,apple cider vinegar
"6 3/4 cup apple cider, fresh",apple cider
6 3/4 cup brown sugar,brown sugar
"6 3/4 cup cardamom pod, lightly crushed",cardamom pod
"6 3/4 cup cilantro, fresh",cilantro
6 3/4 cup crushed ice,crushed ice
"6 3/4 cup fresh strawberry, sliced",strawberry
6 3/4 cup granulated sugar,granulated sugar
"6 3/4 cup pineapple, cut into chunks",pineapple
6 3/4 cup prepared horseradish,coho condensed
6 3/4 cup red wine,red wine
6 3/4 cup rum,rum
6 3/4 cup sugar,sugar
6 3/4 cup unsweetened cranberry juice,cranberry juice
6 3/4 cup water,water
"6 3/4 cup water, heated",water
6 3/4 dash angostura bitters,angostura bitters
6 3/4 dash bitters,bitters
6 3/4 dash burlesque bitters,bitters bitters
6 3/4 dash cayenne pepper,cayenne pepper
6 3/4 dash green chartreuse,green chartreuse
6 3/4 grapefruit twist,grapefruit twist
6 3/4 large egg white,egg white
6 3/4 leaf mint,mint
6 3/4 lemon zest,lemon zest
"6 3/4 lemon, cut into wheels",lemon
"6 3/4 lemon, cut into wheels (optional)",lemon
6 3/4 oz aged rum,aged rum
6 3/4 oz amaretto,amaretto
6 3/4 oz amaro,amaro
6 3/4 oz aquavit,aquavit
6 3/4 oz blanco tequila,blanco tequila
"6 3/4 oz blood orange juice, fresh",blood orange juice
6 3/4 oz bornholmer bitter,bornholmer bitter
6 3/4 oz bourbon,bourbon
6 3/4 oz cardamom pod,cardamom pod
6 3/4 oz cava,cava
6 3/4 oz cava (optional),cava
"6 3/4 oz celery, sliced",celery
6 3/4 oz cinnamon simple syrup,chocolate syrup syrup
"6 3/4 oz club soda, chilled",club soda
"6 3/4 oz club soda, cold",club soda
6 3/4 oz cocchi americano,cocchi americano
6 3/4 oz creme de cacao,creme de cacao
6 3/4 oz cynar,cynar
6 3/4 oz dry vermouth,dry vermouth
6 3/4 oz dubonnet,dubonnet
6 3/4 oz fino sherry,fino sherry
6 3/4 oz freshly squeezed lime juice,lime juice
6 3/4 oz freshly squeezed lime juice (optional),lime juice
6 3/4 oz freshly squeezed orange juice,orange juice
6 3/4 oz galliano,galliano
6 3/4 oz gin,gin
6 3/4 oz ginger beer,ginger beer
"6 3/4 oz ginger juice, fresh",ginger juice
6 3/4 oz hard cider,hard cider
6 3/4 oz heavy cream,heavy cream
6 3/4 oz lemon juice,lemon juice
6 3/4 oz light rum,light rum
"6 3/4 oz lime juice, freshly squeezed",lime juice
6 3/4 oz madeira wine,madeira wine
6 3/4 oz mezcal,mezcal
6 3/4 oz molasses,molasses
6 3/4 oz orange curacao,orange curacao
6 3/4 oz orgeat,orgeat
6 3/4 oz pineapple juice,pineapple juice
"6 3/4 oz pineapple juice, fresh",pineapple juice
6 3/4 oz pisco,pisco
6 3/4 oz raw sugar,sugar
6 3/4 oz reposado tequila,reposado tequila
6 3/4 oz rum,rum
6 3/4 oz seltzer,seltzer
"6 3/4 oz tangerine juice, freshly squeezed",tangerine juice
6 3/4 oz triple sec,triple sec
6 3/4 oz vodka,vodka
6 3/4 oz walnut liqueur,walnut liqueur
6 3/4 oz water,water
6 3/4 oz whipped cream,whipped cream
6 3/4 oz whiskey,whiskey
6 3/4 oz whole milk,whole milk
6 3/4 pinch kosher salt,kosher salt
"6 3/4 pt strawberry, diced",strawberry
"6 3/4 slice cucumber, fresh",cucumber
"6 3/4 slice dried pear, fresh",pear
6 3/4 slice orange,orange
6 3/4 sour cherry,sour cherry
"6 3/4 stalk lemongrass, sliced",lemongrass
6 3/4 star whole anise,anise
6 3/4 tablespoon plus  teaspoon active dry yeast,active dry yeast
"6 3/4 tablespoons unsalted butter, at room temperature",unsalted butter
6 3/4 tbsp demerara sugar,demerara sugar
6 3/4 tbsp extra virgin olive oil,extra virgin olive oil
6 3/4 tbsp malted milk powder,malted milk powder
6 3/4 tbsp pumpkin butter,pumpkin liqueur
6 3/4 tbsp simple syrup,simple syrup
6 3/4 tbsp unsalted butter,unsalted butter
6 3/4 tbsp whole black peppercorn,black peppercorn
"6 3/4 to  tablespoons powdered sugar, plus more to decorate",powdered milk
6 3/4 tsp ground pink peppercorn,pink peppercorn
6 3/4 tsp kosher salt,kosher salt
6 3/4 tsp maraschino liqueur,maraschino liqueur
6 3/4 tsp pernod,pernod
6 3/4 tsp sherry vinegar,sherry vinegar
6 3/4 tsp whole anise,anise
6 3/4 twist orange zest,orange zest
6 3/4 vanilla bean,vanilla bean
6 3/4 wheel orange,orange
"6 baby leeks, 12 ramps, or 12 green onions, sliced on a steep bias into 2-inch long segments",red sea
"6 bay leaves, roughly torn",bay leaves
"6 boneless, skinless chicken thighs (about 2 1/4 pounds; 1kg total)",chicken thighs
6 cherry tomatoes,cherry tomatoes
"6 cloves  garlic, crushed",garlic
"6 cloves garlic, minced",garlic
"6 cloves garlic, minced, or more to taste",garlic
"6 cloves garlic, minced, or more to taste (optional)",garlic
"6 cloves garlic, peeled and chopped",garlic
"6 cloves garlic, sliced",garlic
"6 cloves garlic, split in half",garlic
6 cup seltzer,seltzer
6 cups dashi,dashi
6 cups homemade or store-bought low-sodium chicken broth,chicken broth
6 dash angostura bitters,angostura bitters
6 dash peychauds bitters,peychauds bitters
"6 dehydrated orange slices , to serve",orange
6 dried pasilla chiles,pasilla chile
6 drop orange blossom water,orange blossom water
6 drop pernod,pernod
6 dry Kashmiri chilies,dry vermouth
6 eggs,eggs
6 floz orange juice,orange juice
6 fluid ounces heavy cream,heavy cream
6 large eggs,eggs
6 leaf basil,basil
6 leaf mint,mint
6 leaf sage,sage
6 leaf sage (optional),sage
"6 limes , juiced",limes
"6 medium cloves garlic, minced (about 2 tablespoons)",garlic
"6 medium cloves garlic, minced, about 2 tablespoons",garlic
"6 medium cloves garlic, smashed",garlic
"6 medium tomatillos (about 1 1/2 pounds), peeled and split in half",tomatillos
"6 ounces (170 grams) white chocolate chips, or chopped white chocolate from a bar",white white
6 ounces grated Parmesan,parmesan
"6 ounces picked crab meat (or surimi, cut into 1/2-inch pieces)",crab frosting
6 ounces whole mushrooms or mushroom scraps,mushrooms
6 oz aged rum,aged rum
6 oz becherovka,becherovka
"6 oz black coffee, hot",black sea
6 oz blanco tequila,blanco tequila
"6 oz celery, sliced",celery
6 oz cherry heering,cherry heering
"6 oz cool, filtered water",water water
"6 oz dried apricots, roughly chopped",dried apricots
6 oz dry gin,dry gin
"6 oz dry lambrusco, chilled",vodka
6 oz freshly squeezed orange juice,orange juice
6 oz grapefruit radler,baguettes
6 oz hard cider,hard cider
6 oz ice cube,ice cube
6 oz molasses,molasses
6 oz peated scotch,scotch
6 oz rum,rum
6 oz rye whiskey,rye whiskey
6 oz sage simple syrup,simple syrup
6 oz scotch,scotch
6 oz strong black coffee,black coffee
6 oz water,water
"6 oz water, hot",water
"6 oz. semisweet chocolate (at least 60% cacao), chopped",cacao cacao
"6 raspberry, fresh",raspberry
"6 scallions, finely sliced, greens and whites reserved separately",scallions
"6 scallions, roughly chopped",scallions
"6 scallions, white and light green parts only, finely sliced lengthwise",orange
"6 scallions, whites only, finely sliced (about 1/2 cup)",scallions
"6 scallions, whites separated, greens roughly chopped",scallions
6 scoops vanilla ice cream,vanilla ice cream
6 slice orange,orange
6 slices bread,bread
6 slices of bread,cream acid
6 sprig cilantro,cilantro
6 sprig fresh mint,mint
6 sprigs cilantro,cilantro
6 strip lemon zest,lemon zest
"6 tablespoons (85g) unsalted butter, cut into roughly 1/2-inch cubes",unsalted butter
6 tablespoons butter,butter
6 tablespoons butter (cut into pieces),butter
6 tablespoons distilled white vinegar,white vinegar
"6 tablespoons tahini (sesame seed paste), well-stirred if a new container",white poppy seed
"6 tablespoons tahini (sesame seed paste), well-stirred if a new container (optional)",white poppy seed
6 tablespoons unsalted butter (3 ounces; 85g),unsalted butter
6 tablespoons vodka,vodka
6 tbsp golden caster sugar,golden back
6 tbsp golden granulated sugar,light back turkey
6 tbsp orange curacao,orange curacao
"6 tbsp Seville orange marmalade , plus more to serve",orange marmalade
6 tbsp sugar,sugar
6 Tbsp. (100 g) sourdough starter,sliced
"6 Tbsp. mayonnaise, divided",mayonnaise
6 to 8 servings pho noodles,barley
6 wedge lemon,lemon
6 wheel lime,lime
6 whole cloves,cloves cloves
6 whole garlic cloves,garlic tuna
600 g amaro,amaro
600 g apricot liqueur,apricot liqueur
600 g blanco tequila,blanco tequila
600 g brandy,brandy
"600 g cava, chilled (optional)",cava
600 g chicory-infused rye whiskey,rye stock powder
600 g coconut seltzer,yuzu
600 g curacao,curacao
600 g drinking vinegar,vinegar vinegar
"600 g large lime juice, fresh",lime juice
600 g lillet rouge,lillet rouge
600 g mezcal,mezcal
600 g orange ginger simple syrup,ginger simple syrup
600 g pimms,pimms
"600 g pink grapefruit juice, fresh",pink grapefruit juice
600 g pomegranate juice,pomegranate juice
600 g pomegranate molasses,pomegranate molasses
600 g rye whiskey,rye whiskey
600 g semisweet chocolate chip,chocolate chip
600 g spiced rum,spiced rum
600 g vanilla simple syrup,chia simple syrup
600 g vodka,vodka
"600 g water, boiling",water
"600 g water, hot",water
600 g white rum,white rum
600 g white vermouth,white vermouth
600 ml ale,ale
600 ml averna,averna
600 ml basil simple syrup,simple syrup
600 ml becherovka,becherovka
600 ml blanco tequila,blanco tequila
600 ml brut sparkling wine,sparkling wine
600 ml campari,campari
600 ml cognac,cognac
600 ml demerara simple syrup,simple simple syrup
600 ml drinking vinegar,vinegar vinegar
"600 ml dry vermouth, chilled (optional)",dry vermouth
600 ml freshly squeezed lemon juice,lemon juice
600 ml gin,gin
"600 ml ginger juice, fresh",ginger juice
600 ml heavy cream,heavy cream
600 ml honey syrup,honey syrup
600 ml lavender simple syrup,simple syrup
"600 ml lemon juice, freshly squeezed (optional)",lemon juice
"600 ml lime juice, fresh",lime juice
"600 ml mango, diced",mango
"600 ml orange juice, fresh (optional)",orange juice
"600 ml orange juice, freshly squeezed",orange juice
600 ml rum,rum
600 ml scotch,scotch
600 ml simple syrup,simple syrup
600 ml sparkling wine,sparkling wine
600 ml vermouth,vermouth
600 ml vodka,vodka
600 ml water,water
600 ml whole milk,whole milk
600g apple brandy,apple brandy
600g averna,averna
600g bornholmer bitter,bornholmer bitter
600g celery juice,celery juice
600g cognac,cognac
600g creme de cacao,creme de cacao
600g dark rum,dark rum
600g dry curacao,dry curacao
600g elderflower liqueur,elderflower liqueur
600g evaporated milk,evaporated milk
600g grade B maple syrup,maple syrup
600g ice cube,ice cube
"600g lemon juice, fresh (optional)",lemon juice
600g lillet blanc,lillet blanc
600g mango schnapps,mango schnapps
"600g mango, diced",mango
600g mezcal,mezcal
600g mint-flavored simple syrup,simple syrup
600g orgeat,orgeat
600g pear brandy,pear brandy
"600g pink grapefruit juice, freshly squeezed",pink grapefruit juice
600g pomegranate molasses,pomegranate molasses
600g punt e mes,punt e mes
600g rum,rum
600g sage simple syrup,simple syrup
"600g tangerine juice, freshly squeezed",tangerine juice
600g vanilla simple syrup,chia simple syrup
600g vermouth,vermouth
600g vodka,vodka
600ml apple brandy,apple brandy
600ml apple cider,apple cider
600ml apple juice,apple juice
"600ml Appletise, sparkling apple juice drink",sparkling apple juice
600ml averna,averna
600ml basil simple syrup,simple syrup
600ml benedictine,benedictine
600ml brewed chamomile tea,brewed chamomile tea
600ml campari,campari
600ml champagne,champagne
600ml cranberry juice,cranberry juice
600ml demerara simple syrup,simple simple syrup
"600ml dry vermouth, chilled",dry vermouth
600ml fernet branca,fernet branca
600ml granny smith apple cider,sparkling apple cider
600ml grapefruit juice,grapefruit juice
600ml honey,honey
600ml honey syrup,honey syrup
600ml lemon juice,lemon juice
"600ml lemon juice, fresh",lemon juice
"600ml lemon, fresh",lemon
600ml lemonade,nutmeg
600ml lillet blanc,lillet blanc
600ml mint simple syrup,simple syrup
600ml pureed concord grape,concord grape
600ml rye whiskey,rye whiskey stock
600ml sparkling water,brown sugar
600ml strong black coffee,black coffee
600ml tequila (optional),tequila
600ml whiskey,whiskey
600ml whole milk,whole milk
60g golden caster sugar,golden cartridge
60ml coconut cream,coconut cream
60ml coffee-flavoured liqueur,liqueur liqueur
60ml Irish cream liqueur,chocolate chips
60ml Scotch whisky or bourbon,scotch
60ml vanilla vodka,glucose syrup
60ml vodka,vodka
60ml white rum,white rum
64 oz seltzer,seltzer
650 g amaretto,amaretto
650 g apricot brandy,apricot brandy
650 g brandy,brandy
650 g chicory-infused rye whiskey,rye whiskey powder
650 g club soda,club soda
650 g demerara simple syrup,simple simple syrup
650 g dry prosecco,plantain
"650 g dry vermouth, chilled (optional)",dry vermouth
650 g elderflower liqueur,elderflower liqueur
650 g evaporated milk,evaporated milk
650 g fernet branca,fernet branca
650 g freshly squeezed lime juice,lime juice
650 g ginger beer,ginger beer
650 g honey,honey
650 g lemon juice (optional),lemon juice
"650 g lemon juice, fresh (optional)",lemon juice
650 g lillet blanc,lillet blanc
"650 g orange juice, freshly squeezed",orange juice
"650 g pink grapefruit juice, freshly squeezed",pink grapefruit juice
650 g pureed concord grape,concord grape
"650 g red grapefruit, fresh",red grapefruit
650 g red wine,red wine
650 g rum,rum
650 g sparkling wine,sparkling wine
"650 g tangerine juice, freshly squeezed",tangerine juice
650 g tequila (optional),tequila
650 g walnut liqueur,walnut liqueur
650 g water,water
650 ml amaretto,amaretto
650 ml amber rum,amber rum
"650 ml apple cider, fresh",apple cider
650 ml apricot liqueur,apricot liqueur
650 ml averna,averna
"650 ml black coffee, hot",black sea
650 ml brandy,brandy
650 ml cava,cava
"650 ml cava, chilled",cava
650 ml chilled champagne,champagne
650 ml curacao,curacao
650 ml drambuie,drambuie
650 ml fernet branca,fernet branca
650 ml ginger beer,ginger beer
650 ml ginger juice,ginger juice
650 ml granny smith apple cider,sparkling apple cider
650 ml granulated sugar,granulated sugar
650 ml grapefruit liqueur,grapefruit liqueur
650 ml honey,honey
"650 ml large lime juice, fresh",lime juice
650 ml lavender simple syrup,simple syrup
650 ml lillet blanc,lillet blanc
650 ml maple syrup,maple syrup
650 ml pine liqueur,pine liqueur
650 ml pistachio liqueur,pistachio liqueur
650 ml port,port
650 ml prosecco,prosecco
650 ml rose champagne,rose petal
650 ml single-malt scotch,scotch
650 ml tequila (optional),tequila
650 ml tomato juice,tomato juice
650 ml tonic water,tonic water
650 ml vodka,vodka
650g apple cider,apple cider
"650g apple cider, fresh",apple cider
650g aquavit,aquavit
650g benedictine,benedictine
650g brut sparkling wine,sparkling wine
650g campari,campari
650g cointreau,cointreau
650g cynar,cynar
650g dark rum,dark rum
650g dry curacao,dry curacao
650g dry sherry,dry sherry
650g fresh pomegranate juice,pomegranate juice
650g freshly squeezed grapefruit juice,grapefruit juice
650g half and half,half and half
650g honey,honey
650g honey syrup,honey syrup
"650g hot, freshly brewed black coffee",black black bass
"650g lemon juice, freshly squeezed",lemon juice
650g lemon simple syrup,poppy simple syrup
650g lillet rouge,lillet rouge
650g pomegranate juice,pomegranate juice
650g pomegranate molasses,pomegranate molasses
"650g seltzer, chilled",seltzer
650g sherry,sherry
650g sparkling wine,sparkling wine
650g tequila (optional),tequila
650g unsweetened pomegranate juice,pomegranate juice
650g whole milk,whole milk
650ml agave nectar (optional),agave nectar
650ml aged rum,aged rum
650ml amber rum,amber rum
"650ml black coffee, hot",black sea
650ml cachaca,cachaca
650ml campari,campari
650ml cardamom-infused bourbon,bourbon
650ml chilled ginger beer,ginger beer
650ml citrus vodka,citrus vodka
650ml coconut water,coconut water
"650ml cool, filtered water",water water
650ml drinking vinegar,vinegar vinegar
650ml freshly squeezed lemon juice,lemon juice
650ml freshly squeezed lime juice,lime juice
"650ml ginger juice, fresh",ginger juice
650ml lemon simple syrup,poppy simple syrup
"650ml lemon, fresh",lemon
"650ml lime, fresh",lime
650ml sparkling wine,sparkling wine
"650ml sparkling wine, chilled",sparkling wine
650ml spiced rum,spiced rum
"650ml strawberry, sliced",strawberry
650ml tomato juice,tomato juice
650ml tonic water,tonic water
650ml vanilla,vanilla
"650ml water, boiling",water
"650ml water, hot (optional)",water
650ml white balsamic vinegar,white balsamic vinegar
7 1/4 cups chicken stock,chicken stock
7 dash angostura bitters,angostura bitters
7 dash peychauds bitters,peychauds bitters
"7 garlic cloves, peeled",garlic tuna
"7 medium baking apples, such as Gala or Fuji (about 3 pounds)",coffee powder
7 oz cardamom simple syrup,chamomile tea
7 slices bread,bread
7 slices of bread,cream acid
"7 tablespoons (88g) plain or toasted sugar, divided",ice
7 tbsp rye whiskey,rye whiskey
"7 ¾ cups water, divided",water
700 g amber rum,amber rum
700 g aperol,aperol
"700 g apple cider, fresh",apple cider
700 g averna,averna
700 g cachaca,cachaca
700 g campari,campari
700 g creme de cacao,creme de cacao
700 g drinking vinegar,vinegar vinegar
700 g dry sherry,dry sherry
700 g freshly squeezed orange juice,orange juice
700 g grape simple syrup,ginger simple
"700 g grapefruit juice, fresh squeezed",grapefruit juice
"700 g grapefruit juice, freshly squeezed",grapefruit juice
700 g lavender simple syrup,simple syrup
700 g lillet blanc,lillet blanc
700 g lillet blonde,lillet blonde
700 g lillet blonde (optional),lillet blonde
"700 g pink grapefruit juice, freshly squeezed",pink grapefruit juice
700 g reposado tequila,reposado tequila
700 g rosemary simple syrup,simple syrup
700 g rum,rum
700 g scotch,scotch
700 g sweetened condensed milk,sweetened condensed milk
700 g unsweetened pomegranate juice,pomegranate juice
700 g water,water
"700 g water, hot",water
700 g whiskey,whiskey
700 g white vermouth,white vermouth
700 ml agave nectar (optional),agave nectar
700 ml aperol,aperol
700 ml aquavit,aquavit
700 ml basil simple syrup,simple syrup
700 ml brut sparkling wine,sparkling wine
700 ml campari,campari
700 ml cava (optional),cava
700 ml chilled ginger beer,ginger beer
700 ml cointreau,cointreau
700 ml curacao,curacao
700 ml drinking vinegar,vinegar
700 ml dry sherry,dry sherry
700 ml dubonnet,dubonnet
700 ml freshly squeezed lemon juice,lemon juice
"700 ml ginger ale, chilled",ginger ale
700 ml grape simple syrup,ginger simple
"700 ml grapefruit juice, freshly squeezed",grapefruit juice
700 ml grenadine,grenadine
700 ml half and half,half and half
700 ml honey,honey
700 ml Jameson whiskey,whiskey trout
"700 ml large lime juice, fresh",lime juice
700 ml lavender simple syrup (optional),simple syrup
"700 ml orange juice, freshly squeezed",orange juice
700 ml pear brandy,pear brandy
"700 ml pink grapefruit juice, fresh",pink grapefruit juice
"700 ml pink grapefruit juice, freshly squeezed",pink grapefruit juice
700 ml pistachio liqueur,pistachio liqueur
700 ml port,port
700 ml reposado tequila,reposado tequila
700 ml rum,rum
700 ml rye whiskey,rye whiskey
"700 ml sparkling wine, chilled",sparkling wine
700 ml unfiltered apple cider,apple cider
700 ml vermouth,vermouth
700 ml white balsamic vinegar,white balsamic vinegar
700 ml white rum,white rum
700 ml white vermouth,white vermouth
700g amaretto,amaretto
700g amaro,amaro
700g apricot liqueur,apricot liqueur
700g becherovka,becherovka
700g bourbon,bourbon
700g brewed chamomile tea,brewed chamomile tea
700g cachaca,cachaca
700g champagne,champagne
700g chicory-infused rye whiskey,rye whiskey
700g chilled champagne,champagne
700g creme de cacao,creme de cacao
700g dry sherry,dry sherry
700g fernet branca,fernet branca
700g fresh pomegranate juice,pomegranate juice
700g freshly squeezed orange juice (optional),orange juice
700g gin,gin
700g ginger beer,ginger beer
"700g ginger juice, fresh",ginger juice
700g ginger liqueur,ginger liqueur
"700g grapefruit juice, fresh squeezed",grapefruit juice
700g grenadine,grenadine
"700g hard cider, chilled",hard cider
700g Jameson whiskey,rainbow whiskey
700g lemon juice,lemon juice
"700g lemon, fresh",lemon
700g light rum,light rum
700g maraschino liqueur,maraschino liqueur
700g maraschino liqueur (optional),maraschino liqueur
700g mezcal,mezcal
700g passionfruit simple syrup,simple syrup
700g pimms,pimms
"700g pink grapefruit juice, freshly squeezed",pink grapefruit juice
700g punt e mes,punt e mes
"700g seltzer, chilled",seltzer
"700g sparkling wine, chilled",sparkling wine
700g the king's ginger,ginger ginger
700g walnut liqueur,walnut liqueur
700g water,water
700g whiskey,whiskey
700ml apple brandy,apple brandy
700ml apple cider,apple cider
700ml apricot liqueur,apricot liqueur
700ml blanco tequila,blanco tequila
700ml bottle of decent gin,mung chile
700ml campari,campari
700ml celery juice,celery juice
700ml champagne,champagne
700ml chilled champagne,champagne
700ml cointreau,cointreau
"700ml dry vermouth, chilled",dry vermouth
700ml freshly squeezed lemon juice,lemon juice
700ml genever,genever
"700ml ginger ale, chilled",ginger ale
700ml granny smith apple cider,sparkling apple cider
700ml granulated sugar,granulated sugar
"700ml grapefruit juice, freshly squeezed",grapefruit juice
700ml green chartreuse,green bell pepper
"700ml mango, diced",mango
700ml maple syrup,maple syrup
700ml molasses,molasses
700ml passionfruit simple syrup,simple syrup
700ml peach liqueur,peach liqueur
700ml pear brandy,pear brandy
700ml peated scotch,scotch
700ml pisco,pisco
700ml smoky scotch,scotch
700ml tomato juice,tomato juice
700ml whiskey,whiskey
75 grams salt,salt
750 g amer picon,amer picon
750 g benedictine,benedictine
"750 g cava, chilled (optional)",cava
750 g cherry heering,cherry heering
750 g dark rum,dark rum
750 g drinking vinegar,vinegar
750 g dry prosecco,plantain
750 g elderflower liqueur,elderflower liqueur
